timestamp,shortwave_radiation,direct_normal_irradiance,wind_speed_10m,wind_speed_100m
2025-01-01 00:00:00+00:00,0.0,0.0,26.8,45.3
2025-01-01 01:00:00+00:00,0.0,0.0,27.1,46.0
2025-01-01 02:00:00+00:00,0.0,0.0,27.5,46.6
2025-01-01 03:00:00+00:00,0.0,0.0,28.2,47.7
2025-01-01 04:00:00+00:00,0.0,0.0,28.9,48.2
2025-01-01 05:00:00+00:00,0.0,0.0,28.7,48.4
2025-01-01 06:00:00+00:00,0.0,0.0,28.7,48.3
2025-01-01 07:00:00+00:00,0.0,0.0,29.3,48.5
2025-01-01 08:00:00+00:00,0.0,0.0,29.0,47.9
2025-01-01 09:00:00+00:00,0.0,0.0,28.6,47.5
2025-01-01 10:00:00+00:00,0.0,0.0,30.1,50.7
2025-01-01 11:00:00+00:00,11.0,0.0,30.7,50.0
2025-01-01 12:00:00+00:00,32.0,0.0,31.7,52.7
2025-01-01 13:00:00+00:00,36.0,0.0,33.1,54.8
2025-01-01 14:00:00+00:00,42.0,0.0,33.1,54.8
2025-01-01 15:00:00+00:00,34.0,0.0,33.8,56.0
2025-01-01 16:00:00+00:00,23.0,0.0,33.4,56.0
2025-01-01 17:00:00+00:00,12.0,0.0,32.9,56.2
2025-01-01 18:00:00+00:00,2.0,0.0,29.8,54.8
2025-01-01 19:00:00+00:00,0.0,0.0,30.3,55.6
2025-01-01 20:00:00+00:00,0.0,0.0,28.8,52.9
2025-01-01 21:00:00+00:00,0.0,0.0,28.7,50.0
2025-01-01 22:00:00+00:00,0.0,0.0,17.3,29.4
2025-01-01 23:00:00+00:00,0.0,0.0,17.4,30.2
2025-01-02 00:00:00+00:00,0.0,0.0,13.5,22.5
2025-01-02 01:00:00+00:00,0.0,0.0,13.8,24.2
2025-01-02 02:00:00+00:00,0.0,0.0,15.3,25.7
2025-01-02 03:00:00+00:00,0.0,0.0,16.0,26.0
2025-01-02 04:00:00+00:00,0.0,0.0,14.1,23.7
2025-01-02 05:00:00+00:00,0.0,0.0,13.1,22.5
2025-01-02 06:00:00+00:00,0.0,0.0,13.2,23.3
2025-01-02 07:00:00+00:00,0.0,0.0,11.1,21.2
2025-01-02 08:00:00+00:00,0.0,0.0,10.6,19.1
2025-01-02 09:00:00+00:00,0.0,0.0,9.1,17.1
2025-01-02 10:00:00+00:00,0.0,0.0,6.7,16.5
2025-01-02 11:00:00+00:00,39.0,224.5,7.0,13.0
2025-01-02 12:00:00+00:00,139.0,504.7,6.5,14.9
2025-01-02 13:00:00+00:00,203.0,581.5,8.2,12.4
2025-01-02 14:00:00+00:00,218.0,538.4,10.3,14.6
2025-01-02 15:00:00+00:00,208.0,529.6,9.4,14.9
2025-01-02 16:00:00+00:00,143.0,383.6,10.0,16.0
2025-01-02 17:00:00+00:00,92.0,367.1,10.0,19.3
2025-01-02 18:00:00+00:00,15.0,126.3,7.4,19.5
2025-01-02 19:00:00+00:00,0.0,0.0,9.3,22.0
2025-01-02 20:00:00+00:00,0.0,0.0,8.4,20.6
2025-01-02 21:00:00+00:00,0.0,0.0,8.6,21.5
2025-01-02 22:00:00+00:00,0.0,0.0,9.6,22.3
2025-01-02 23:00:00+00:00,0.0,0.0,10.4,24.2
2025-01-03 00:00:00+00:00,0.0,0.0,11.3,25.3
2025-01-03 01:00:00+00:00,0.0,0.0,10.3,23.7
2025-01-03 02:00:00+00:00,0.0,0.0,11.2,24.8
2025-01-03 03:00:00+00:00,0.0,0.0,12.6,26.1
2025-01-03 04:00:00+00:00,0.0,0.0,13.0,27.3
2025-01-03 05:00:00+00:00,0.0,0.0,13.3,27.6
2025-01-03 06:00:00+00:00,0.0,0.0,13.0,27.2
2025-01-03 07:00:00+00:00,0.0,0.0,13.0,26.9
2025-01-03 08:00:00+00:00,0.0,0.0,13.7,28.3
2025-01-03 09:00:00+00:00,0.0,0.0,13.5,28.4
2025-01-03 10:00:00+00:00,1.0,0.0,13.9,28.9
2025-01-03 11:00:00+00:00,51.0,347.6,15.4,28.6
2025-01-03 12:00:00+00:00,142.0,530.4,13.9,32.5
2025-01-03 13:00:00+00:00,221.0,680.5,15.4,25.0
2025-01-03 14:00:00+00:00,258.0,734.5,15.5,24.0
2025-01-03 15:00:00+00:00,144.0,179.1,13.8,22.2
2025-01-03 16:00:00+00:00,54.0,0.0,12.7,21.1
2025-01-03 17:00:00+00:00,79.0,252.8,13.6,24.0
2025-01-03 18:00:00+00:00,14.0,88.2,13.6,26.5
2025-01-03 19:00:00+00:00,0.0,0.0,13.9,27.6
2025-01-03 20:00:00+00:00,0.0,0.0,12.9,27.2
2025-01-03 21:00:00+00:00,0.0,0.0,12.2,26.7
2025-01-03 22:00:00+00:00,0.0,0.0,11.7,25.4
2025-01-03 23:00:00+00:00,0.0,0.0,11.2,24.3
2025-01-04 00:00:00+00:00,0.0,0.0,10.6,23.3
2025-01-04 01:00:00+00:00,0.0,0.0,9.9,21.8
2025-01-04 02:00:00+00:00,0.0,0.0,9.8,21.7
2025-01-04 03:00:00+00:00,0.0,0.0,9.5,21.7
2025-01-04 04:00:00+00:00,0.0,0.0,9.4,21.8
2025-01-04 05:00:00+00:00,0.0,0.0,10.2,22.1
2025-01-04 06:00:00+00:00,0.0,0.0,10.4,22.4
2025-01-04 07:00:00+00:00,0.0,0.0,8.9,21.0
2025-01-04 08:00:00+00:00,0.0,0.0,9.5,21.5
2025-01-04 09:00:00+00:00,0.0,0.0,10.3,22.5
2025-01-04 10:00:00+00:00,0.0,0.0,10.3,22.4
2025-01-04 11:00:00+00:00,33.0,24.7,10.4,20.6
2025-01-04 12:00:00+00:00,105.0,106.6,9.1,19.7
2025-01-04 13:00:00+00:00,133.0,52.7,8.7,14.5
2025-01-04 14:00:00+00:00,130.0,25.2,8.6,13.4
2025-01-04 15:00:00+00:00,137.0,33.3,8.2,12.4
2025-01-04 16:00:00+00:00,103.0,44.8,6.9,10.5
2025-01-04 17:00:00+00:00,57.0,21.3,4.4,10.3
2025-01-04 18:00:00+00:00,12.0,0.0,4.8,12.5
2025-01-04 19:00:00+00:00,0.0,0.0,6.1,16.7
2025-01-04 20:00:00+00:00,0.0,0.0,7.4,18.4
2025-01-04 21:00:00+00:00,0.0,0.0,8.9,20.4
2025-01-04 22:00:00+00:00,0.0,0.0,9.4,20.5
2025-01-04 23:00:00+00:00,0.0,0.0,9.7,20.0
2025-01-05 00:00:00+00:00,0.0,0.0,11.7,22.7
2025-01-05 01:00:00+00:00,0.0,0.0,12.0,23.1
2025-01-05 02:00:00+00:00,0.0,0.0,12.2,22.6
2025-01-05 03:00:00+00:00,0.0,0.0,12.7,22.7
2025-01-05 04:00:00+00:00,0.0,0.0,13.2,23.3
2025-01-05 05:00:00+00:00,0.0,0.0,16.3,28.1
2025-01-05 06:00:00+00:00,0.0,0.0,15.1,26.5
2025-01-05 07:00:00+00:00,0.0,0.0,11.4,20.8
2025-01-05 08:00:00+00:00,0.0,0.0,13.0,23.9
2025-01-05 09:00:00+00:00,0.0,0.0,10.8,21.7
2025-01-05 10:00:00+00:00,0.0,0.0,7.8,22.6
2025-01-05 11:00:00+00:00,5.0,0.0,27.0,47.6
2025-01-05 12:00:00+00:00,20.0,0.0,28.6,49.4
2025-01-05 13:00:00+00:00,24.0,0.0,31.0,52.5
2025-01-05 14:00:00+00:00,34.0,0.0,30.5,51.1
2025-01-05 15:00:00+00:00,26.0,0.0,29.7,50.3
2025-01-05 16:00:00+00:00,23.0,0.0,29.7,49.7
2025-01-05 17:00:00+00:00,14.0,0.0,28.1,47.4
2025-01-05 18:00:00+00:00,4.0,0.0,26.1,44.7
2025-01-05 19:00:00+00:00,0.0,0.0,25.0,43.2
2025-01-05 20:00:00+00:00,0.0,0.0,27.8,47.5
2025-01-05 21:00:00+00:00,0.0,0.0,28.0,47.9
2025-01-05 22:00:00+00:00,0.0,0.0,27.7,47.4
2025-01-05 23:00:00+00:00,0.0,0.0,27.4,46.4
2025-01-06 00:00:00+00:00,0.0,0.0,27.9,48.2
2025-01-06 01:00:00+00:00,0.0,0.0,27.9,48.6
2025-01-06 02:00:00+00:00,0.0,0.0,28.4,48.9
2025-01-06 03:00:00+00:00,0.0,0.0,27.9,47.5
2025-01-06 04:00:00+00:00,0.0,0.0,27.0,46.1
2025-01-06 05:00:00+00:00,0.0,0.0,28.4,48.1
2025-01-06 06:00:00+00:00,0.0,0.0,28.5,48.7
2025-01-06 07:00:00+00:00,0.0,0.0,28.8,49.2
2025-01-06 08:00:00+00:00,0.0,0.0,28.9,49.7
2025-01-06 09:00:00+00:00,0.0,0.0,30.1,51.3
2025-01-06 10:00:00+00:00,0.0,0.0,32.4,54.6
2025-01-06 11:00:00+00:00,19.0,0.0,33.4,55.6
2025-01-06 12:00:00+00:00,49.0,0.0,31.6,52.2
2025-01-06 13:00:00+00:00,105.0,36.0,34.3,56.4
2025-01-06 14:00:00+00:00,45.0,0.0,38.6,62.2
2025-01-06 15:00:00+00:00,42.0,0.0,38.0,61.1
2025-01-06 16:00:00+00:00,52.0,0.0,35.0,56.7
2025-01-06 17:00:00+00:00,78.0,198.9,29.9,48.7
2025-01-06 18:00:00+00:00,19.0,131.8,26.9,45.1
2025-01-06 19:00:00+00:00,0.0,0.0,24.5,41.9
2025-01-06 20:00:00+00:00,0.0,0.0,23.3,40.4
2025-01-06 21:00:00+00:00,0.0,0.0,22.3,38.5
2025-01-06 22:00:00+00:00,0.0,0.0,20.4,35.1
2025-01-06 23:00:00+00:00,0.0,0.0,20.6,35.4
2025-01-07 00:00:00+00:00,0.0,0.0,19.8,34.0
2025-01-07 01:00:00+00:00,0.0,0.0,19.6,34.2
2025-01-07 02:00:00+00:00,0.0,0.0,20.1,35.3
2025-01-07 03:00:00+00:00,0.0,0.0,20.3,35.4
2025-01-07 04:00:00+00:00,0.0,0.0,19.1,33.3
2025-01-07 05:00:00+00:00,0.0,0.0,20.1,34.8
2025-01-07 06:00:00+00:00,0.0,0.0,20.2,35.0
2025-01-07 07:00:00+00:00,0.0,0.0,19.4,33.5
2025-01-07 08:00:00+00:00,0.0,0.0,20.2,35.3
2025-01-07 09:00:00+00:00,0.0,0.0,19.2,33.3
2025-01-07 10:00:00+00:00,1.0,0.0,18.3,32.7
2025-01-07 11:00:00+00:00,54.0,386.2,18.1,32.1
2025-01-07 12:00:00+00:00,149.0,577.0,14.8,25.0
2025-01-07 13:00:00+00:00,230.0,712.0,21.0,33.3
2025-01-07 14:00:00+00:00,177.0,179.8,17.6,27.9
2025-01-07 15:00:00+00:00,128.0,47.0,17.2,27.5
2025-01-07 16:00:00+00:00,85.0,69.5,14.4,24.8
2025-01-07 17:00:00+00:00,33.0,0.0,20.1,34.4
2025-01-07 18:00:00+00:00,18.0,96.6,19.7,35.1
2025-01-07 19:00:00+00:00,0.0,0.0,19.4,34.5
2025-01-07 20:00:00+00:00,0.0,0.0,16.0,29.6
2025-01-07 21:00:00+00:00,0.0,0.0,15.2,29.5
2025-01-07 22:00:00+00:00,0.0,0.0,17.1,31.9
2025-01-07 23:00:00+00:00,0.0,0.0,16.7,32.4
2025-01-08 00:00:00+00:00,0.0,0.0,16.5,32.3
2025-01-08 01:00:00+00:00,0.0,0.0,15.3,30.8
2025-01-08 02:00:00+00:00,0.0,0.0,14.0,29.6
